transaction_id,transaction_date,sender_id,receiver_id,origin_country,destination_country,sender_bank,receiver_bank,currency,amount_usd,transaction_type,customer_segment,purpose_code,risk_rating
TXN000001,2025-01-01,CUST_A102,RCV_B206,USA,ARE,Continental Finance,Continental Finance,USD,27883.44,ACH,SME,Capital Goods,Low
TXN000002,2025-01-01,CUST_A102,RCV_B201,GBR,USA,Harbor Bank,Harbor Bank,USD,8852.19,ACH,SME,Family Support,Low
TXN000003,2025-01-01,CUST_A101,RCV_B205,USA,ARE,Mercury Trust,Mercury Trust,USD,156714.3,Trade Finance,Corporate,Family Support,Medium
TXN000004,2025-01-01,CUST_A105,RCV_B205,USA,DEU,Mercury Trust,Atlantic Bank,USD,107210.77,Remittance,Corporate,Invoice Payment,Medium
TXN000005,2025-01-01,CUST_A105,RCV_B205,USA,RUS,Continental Finance,Mercury Trust,USD,63975.38,ACH,Corporate,Intercompany Transfer,Medium
TXN000006,2025-01-01,CUST_A103,RCV_B201,USA,ZAF,Mercury Trust,Atlantic Bank,USD,223279.98,Remittance,NBFI,Capital Goods,High
TXN000007,2025-01-01,CUST_A102,RCV_B202,GBR,USA,Continental Finance,Atlantic Bank,USD,22574.93,Trade Finance,SME,Family Support,Low
TXN000008,2025-01-01,CUST_A105,RCV_B201,USA,DEU,Mercury Trust,Harbor Bank,USD,55478.54,Trade Finance,Corporate,Services,Medium
TXN000009,2025-01-01,CUST_A106,RCV_B202,USA,DEU,Continental Finance,Harbor Bank,USD,16962.89,Wire,SME,Intercompany Transfer,Medium
TXN000010,2025-01-01,CUST_A101,RCV_B205,USA,ARE,Mercury Trust,Continental Finance,USD,113208.94,ACH,Corporate,Family Support,Medium
TXN000011,2025-01-02,CUST_A101,RCV_B204,USA,ARE,Mercury Trust,Mercury Trust,USD,66037.84,ACH,Corporate,Intercompany Transfer,Medium
TXN000012,2025-01-02,CUST_A102,RCV_B202,USA,ZAF,Atlantic Bank,Atlantic Bank,USD,7436.67,Trade Finance,SME,Invoice Payment,Low
TXN000013,2025-01-02,CUST_A106,RCV_B202,USA,RUS,Mercury Trust,Atlantic Bank,USD,21929.16,Remittance,SME,Capital Goods,Medium
TXN000014,2025-01-02,CUST_A105,RCV_B206,GBR,USA,Mercury Trust,Harbor Bank,USD,67483.7,ACH,Corporate,Invoice Payment,Medium
TXN000015,2025-01-02,CUST_A103,RCV_B201,USA,GBR,Atlantic Bank,Continental Finance,USD,62164.24,ACH,NBFI,Family Support,High
TXN000016,2025-01-02,CUST_A101,RCV_B206,GBR,USA,Mercury Trust,Continental Finance,USD,104213.04,ACH,Corporate,Capital Goods,Medium
TXN000017,2025-01-02,CUST_A101,RCV_B203,USA,DEU,Mercury Trust,Continental Finance,USD,76568.18,ACH,Corporate,Intercompany Transfer,Medium
TXN000018,2025-01-02,CUST_A101,RCV_B203,USA,GBR,Mercury Trust,Harbor Bank,USD,46225.93,ACH,Corporate,Family Support,Medium
TXN000019,2025-01-02,CUST_A103,RCV_B202,USA,ARE,Harbor Bank,Mercury Trust,USD,98646.88,Remittance,NBFI,Family Support,High
TXN000020,2025-01-03,CUST_A103,RCV_B203,USA,RUS,Mercury Trust,Continental Finance,USD,124856.24,Remittance,NBFI,Capital Goods,High
TXN000021,2025-01-03,CUST_A102,RCV_B204,USA,GBR,Continental Finance,Continental Finance,USD,13149.77,Wire,SME,Family Support,Low
TXN000022,2025-01-03,CUST_A103,RCV_B205,USA,GBR,Atlantic Bank,Mercury Trust,USD,253419.17,Remittance,NBFI,Invoice Payment,High
TXN000023,2025-01-03,CUST_A105,RCV_B201,USA,DEU,Continental Finance,Mercury Trust,USD,56270.1,Trade Finance,Corporate,Intercompany Transfer,Medium
TXN000024,2025-01-03,CUST_A104,RCV_B203,USA,ZAF,Mercury Trust,Atlantic Bank,USD,2836.24,Wire,Retail,Intercompany Transfer,Low
TXN000025,2025-01-03,CUST_A103,RCV_B203,USA,ZAF,Harbor Bank,Mercury Trust,USD,190273.28,ACH,NBFI,Family Support,High
TXN000026,2025-01-03,CUST_A103,RCV_B203,USA,RUS,Continental Finance,Mercury Trust,USD,69633.5,Trade Finance,NBFI,Services,High
TXN000027,2025-01-04,CUST_A102,RCV_B204,USA,DEU,Atlantic Bank,Atlantic Bank,USD,11479.71,ACH,SME,Services,Low
TXN000028,2025-01-04,CUST_A104,RCV_B205,USA,ARE,Mercury Trust,Atlantic Bank,USD,2148.56,Remittance,Retail,Intercompany Transfer,Low
TXN000029,2025-01-04,CUST_A106,RCV_B202,USA,DEU,Atlantic Bank,Continental Finance,USD,10066.13,ACH,SME,Services,Medium
TXN000030,2025-01-04,CUST_A105,RCV_B203,USA,ARE,Atlantic Bank,Harbor Bank,USD,48687.23,Remittance,Corporate,Services,Medium
TXN000031,2025-01-04,CUST_A104,RCV_B204,USA,RUS,Mercury Trust,Atlantic Bank,USD,1395.17,Wire,Retail,Capital Goods,Low
TXN000032,2025-01-04,CUST_A101,RCV_B202,USA,ZAF,Atlantic Bank,Harbor Bank,USD,39613.14,Wire,Corporate,Family Support,Medium
TXN000033,2025-01-05,CUST_A101,RCV_B201,USA,GBR,Harbor Bank,Continental Finance,USD,72478.58,Wire,Corporate,Services,Medium
TXN000034,2025-01-05,CUST_A104,RCV_B205,USA,RUS,Mercury Trust,Mercury Trust,USD,4332.34,Trade Finance,Retail,Family Support,Low
TXN000035,2025-01-05,CUST_A102,RCV_B206,USA,ZAF,Continental Finance,Harbor Bank,USD,13710.43,Wire,SME,Invoice Payment,Low
TXN000036,2025-01-05,CUST_A102,RCV_B202,USA,GBR,Harbor Bank,Atlantic Bank,USD,21374.88,ACH,SME,Capital Goods,Low
TXN000037,2025-01-05,CUST_A106,RCV_B205,USA,ARE,Continental Finance,Harbor Bank,USD,9254.1,Trade Finance,SME,Invoice Payment,Medium
TXN000038,2025-01-05,CUST_A105,RCV_B201,USA,ARE,Mercury Trust,Atlantic Bank,USD,81359.2,Remittance,Corporate,Intercompany Transfer,Medium
TXN000039,2025-01-05,CUST_A101,RCV_B203,USA,RUS,Mercury Trust,Continental Finance,USD,138870.72,Remittance,Corporate,Services,Medium
TXN000040,2025-01-05,CUST_A106,RCV_B204,USA,DEU,Mercury Trust,Atlantic Bank,USD,10229.56,Remittance,SME,Capital Goods,Medium
TXN000041,2025-01-05,CUST_A101,RCV_B204,USA,RUS,Atlantic Bank,Continental Finance,USD,84082.29,ACH,Corporate,Invoice Payment,Medium
TXN000042,2025-01-05,CUST_A106,RCV_B201,GBR,USA,Continental Finance,Harbor Bank,USD,9381.75,ACH,SME,Capital Goods,Medium
TXN000043,2025-01-05,CUST_A104,RCV_B205,USA,RUS,Atlantic Bank,Mercury Trust,USD,3882.06,Trade Finance,Retail,Services,Low
TXN000044,2025-01-06,CUST_A105,RCV_B202,USA,DEU,Harbor Bank,Harbor Bank,USD,43763.26,Trade Finance,Corporate,Invoice Payment,Medium
TXN000045,2025-01-06,CUST_A106,RCV_B201,USA,ZAF,Continental Finance,Atlantic Bank,USD,18099.89,Trade Finance,SME,Services,Medium
TXN000046,2025-01-06,CUST_A102,RCV_B206,USA,GBR,Continental Finance,Atlantic Bank,USD,23002.11,Wire,SME,Services,Low
TXN000047,2025-01-06,CUST_A104,RCV_B201,USA,ZAF,Atlantic Bank,Continental Finance,USD,1754.44,Wire,Retail,Invoice Payment,Low
TXN000048,2025-01-06,CUST_A102,RCV_B205,USA,GBR,Continental Finance,Continental Finance,USD,19441.24,Trade Finance,SME,Services,Low
TXN000049,2025-01-06,CUST_A105,RCV_B202,USA,RUS,Continental Finance,Harbor Bank,USD,80003.71,Trade Finance,Corporate,Capital Goods,Medium
TXN000050,2025-01-06,CUST_A101,RCV_B203,USA,DEU,Atlantic Bank,Atlantic Bank,USD,376069.05,Remittance,Corporate,Capital Goods,Medium
TXN000051,2025-01-06,CUST_A106,RCV_B203,USA,DEU,Atlantic Bank,Atlantic Bank,USD,8135.39,Trade Finance,SME,Invoice Payment,Medium
TXN000052,2025-01-06,CUST_A101,RCV_B203,USA,RUS,Harbor Bank,Harbor Bank,USD,30646.07,Trade Finance,Corporate,Intercompany Transfer,Medium
TXN000053,2025-01-06,CUST_A102,RCV_B206,USA,DEU,Harbor Bank,Continental Finance,USD,17341.36,Remittance,SME,Family Support,Low
TXN000054,2025-01-06,CUST_A105,RCV_B205,USA,GBR,Mercury Trust,Continental Finance,USD,69646.96,Trade Finance,Corporate,Intercompany Transfer,Medium
TXN000055,2025-01-07,CUST_A103,RCV_B203,GBR,USA,Mercury Trust,Mercury Trust,USD,100163.4,ACH,NBFI,Invoice Payment,High
TXN000056,2025-01-07,CUST_A105,RCV_B202,USA,DEU,Continental Finance,Harbor Bank,USD,163538.95,Trade Finance,Corporate,Capital Goods,Medium
TXN000057,2025-01-07,CUST_A105,RCV_B202,USA,ZAF,Continental Finance,Mercury Trust,USD,208761.12,Remittance,Corporate,Services,Medium
TXN000058,2025-01-07,CUST_A105,RCV_B204,GBR,USA,Atlantic Bank,Mercury Trust,USD,82982.26,Wire,Corporate,Family Support,Medium
TXN000059,2025-01-07,CUST_A101,RCV_B202,GBR,USA,Continental Finance,Harbor Bank,USD,72036.18,Remittance,Corporate,Family Support,Medium
TXN000060,2025-01-07,CUST_A101,RCV_B204,USA,ARE,Continental Finance,Harbor Bank,USD,119576.07,Remittance,Corporate,Invoice Payment,Medium
TXN000061,2025-01-07,CUST_A106,RCV_B206,USA,DEU,Harbor Bank,Mercury Trust,USD,34440.25,Trade Finance,SME,Intercompany Transfer,Medium
TXN000062,2025-01-08,CUST_A105,RCV_B205,GBR,USA,Harbor Bank,Harbor Bank,USD,83233.1,Remittance,Corporate,Capital Goods,Medium
TXN000063,2025-01-08,CUST_A102,RCV_B204,USA,GBR,Harbor Bank,Harbor Bank,USD,20760.43,Wire,SME,Family Support,Low
TXN000064,2025-01-08,CUST_A101,RCV_B203,GBR,USA,Harbor Bank,Harbor Bank,USD,127440.28,Wire,Corporate,Family Support,Medium
TXN000065,2025-01-08,CUST_A105,RCV_B203,USA,ARE,Harbor Bank,Continental Finance,USD,91007.97,ACH,Corporate,Family Support,Medium
TXN000066,2025-01-08,CUST_A103,RCV_B204,USA,DEU,Harbor Bank,Atlantic Bank,USD,110344.18,Wire,NBFI,Intercompany Transfer,High
TXN000067,2025-01-08,CUST_A104,RCV_B203,USA,ARE,Mercury Trust,Atlantic Bank,USD,4517.45,Remittance,Retail,Intercompany Transfer,Low
TXN000068,2025-01-08,CUST_A106,RCV_B203,USA,ARE,Atlantic Bank,Mercury Trust,USD,23866.17,Remittance,SME,Intercompany Transfer,Medium
TXN000069,2025-01-08,CUST_A101,RCV_B205,USA,RUS,Harbor Bank,Mercury Trust,USD,108504.4,Trade Finance,Corporate,Intercompany Transfer,Medium
TXN000070,2025-01-09,CUST_A104,RCV_B205,USA,ARE,Harbor Bank,Mercury Trust,USD,1004.75,ACH,Retail,Capital Goods,Low
TXN000071,2025-01-09,CUST_A101,RCV_B202,GBR,USA,Harbor Bank,Continental Finance,USD,93128.24,Wire,Corporate,Services,Medium
TXN000072,2025-01-09,CUST_A106,RCV_B201,USA,RUS,Harbor Bank,Harbor Bank,USD,11571.83,Wire,SME,Invoice Payment,Medium
TXN000073,2025-01-09,CUST_A104,RCV_B206,USA,GBR,Continental Finance,Continental Finance,USD,2158.0,Wire,Retail,Family Support,Low
